what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968213109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968213203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968222281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968228187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968260828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328968263328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328968265281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1328968267421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968278828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968278828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968278937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968291656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328968294515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328968299093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328968309328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328968311265
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328968314765
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328968316078
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328968316078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968317750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968411406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968421062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968427484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968428531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968437140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968438593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968593906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968597015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968619453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968622578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968627218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968716828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968718687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968718859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968720234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968721437
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328968721625
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1328968722593
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1328968722625
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1328968722625
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1328968722625
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1328968722625
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1328968722625
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1328968722625
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328968722625
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1328968722625
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1328968722625
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1328968722625
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1328968722625
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1328968722625
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1328968722625
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1328968722625
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1328968722625
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1328968722656
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1328968722671
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1328968722671
